osm_type,osm_id,key,value,name,lat,lon,addr:street,addr:housenumber,brand,operator,website,cuisine,opening_hours,description,barrio,comuna,ipcf_promedio_pesos,porc_hogares_bajo_lp,porc_poblacion_bajo_lp,tasa_actividad,tasa_empleo,tasa_desocupacion,tasa_desocupacion_hombres,tasa_desocupacion_mujeres,tasa_subocupacion_horaria,porc_cuenta_propia,porc_asalariados_sin_jubilacion,poblacion,superficie_km2,densidad_hab_km2,porc_poblacion_en_ciudad,porc_superficie_en_ciudad,razon_varones_por_100_mujeres,edad_promedio_anios,porc_poblacion_0_14,porc_poblacion_15_64,porc_65mas,porc_poblacion_nacida_en_ciudad,Tasa global de fecundidad (hijos/as por mujer)1 ,Tasa de mortalidad infantil (por mil nacidos/as vivos/as) 1 ,Tasa bruta de natalidad (por mil) (2023) ,Tasa bruta de mortalidad (por mil) (2023) ,tasa_crecimiento_vegetativo_2023_por_mil,porc_mujeres_14mas_sin_hijos,porc_mujeres_14mas_con_1o2_hijos,Porcentaje de mujeres de 14 años y más que tuvieron más de 2 hijos/as,tamano_medio_hogar,porc_hogares_unipersonales,porc_poblacion_14mas_unida,porc_hogares_familiares,porc_hogares_no_familiares,_name_norm,chain_count,is_chain,regex_label,manual_label,unified_label
node,790044352,amenity,cafe,La Molienda,-34.6036904,-58.3838451,,,,,,,,,SAN NICOLAS,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,la molienda,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,794146720,amenity,cafe,Tostado,-34.5415316,-58.4629118,Comodoro Martín Rivadavia,1560,,,www.tostadocafeclub.com,coffee_shop,,,NUÑEZ,13.0,963308.0,"11,9a",11.1,65.6,62.4,"4,9a","4,0b","5,8b","5,4a",26.7,23.9,"236,723",15.0,15782.0,7.7,7.3,84.4,41.3,17.2,63.1,19.7,67.0,1.0,2.2,7.6,9.9,-2.3,37.4,47.7,14.9,2.1,41.6,51.9,57.3,42.7,tostado,13,True,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,876504528,amenity,cafe,Tolón,-34.5892488,-58.4100666,Avenida Santa Fe,3200,,,,burger;coffee_shop,07:00-24:00,,RECOLETA,2.0,1046451.0,17.0,15.7,64.5,61.8,"4,2b", ---,"5,6b","6,5a",19.6,25.5,"149,345",6.3,23706.0,4.8,3.1,80.5,42.5,11.4,67.5,21.1,46.0,1.3,4.2,9.8,10.5,-0.7,50.4,37.0,12.6,1.8,54.2,44.9,45.6,54.4,tolon,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,905690272,amenity,cafe,Café Martínez,-34.5807766,-58.4226197,Avenida Santa Fe,4298,Café Martínez,,https://www.cafemartinez.com/,coffee_shop,Mo-Su 08:00-22:00,,PALERMO,14.0,1028794.0,"11,9a",11.5,66.1,63.5,"4,0b", ---,"5,6b","5,4a",20.7,23.6,"227,315",15.9,14297.0,7.4,7.7,82.8,41.1,13.8,67.1,19.1,55.4,1.3,2.8,11.3,8.9,2.4,47.2,42.3,10.5,1.9,48.6,44.3,50.0,50.0,cafe martinez,81,True,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,915725327,amenity,bar,Revire,-34.6039235,-58.3825957,Avenida Corrientes,1124,,,,steak_house,Mo-Su 12:00-01:00,,SAN NICOLAS,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,revire,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,915725481,amenity,cafe,Havanna,-34.603727,-58.3793759,,,Havanna,,,,,,SAN NICOLAS,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,havanna,68,True,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,917426262,amenity,restaurant,La Palita,-34.5988307,-58.3798997,,,,,,,,,RETIRO,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,la palita,4,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,917426459,amenity,cafe,Café Havanna,-34.5988632,-58.3802608,Avenida Córdoba,,,Havanna,,,,,RETIRO,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,cafe havanna,2,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,1009518240,amenity,bar,Herman,-34.5758162,-58.4886899,,,,,,,,,VILLA URQUIZA,12.0,864081.0,"8,6a","8,4a",63.5,60.1,"5,4a", ---,"7,5b","6,2a","18,7a","21,4a","215,442",15.7,13722.0,7.0,7.6,88.4,40.2,18.4,63.5,18.1,65.5,1.0,5.6,6.8,9.4,-2.6,35.8,49.7,14.5,2.2,37.9,51.0,61.4,38.6,herman,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,1077691486,amenity,restaurant,El Capricho,-34.5860717,-58.5015437,Avenida General Mosconi,,,,,,,,VILLA PUEYRREDON,12.0,864081.0,"8,6a","8,4a",63.5,60.1,"5,4a", ---,"7,5b","6,2a","18,7a","21,4a","215,442",15.7,13722.0,7.0,7.6,88.4,40.2,18.4,63.5,18.1,65.5,1.0,5.6,6.8,9.4,-2.6,35.8,49.7,14.5,2.2,37.9,51.0,61.4,38.6,el capricho,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,1107970180,amenity,cafe,Café Martínez,-34.6033081,-58.3925363,Avenida Callao,498,Café Martínez,,https://www.cafemartinez.com/,coffee_shop,Mo-Fr 07:30-20:00; Sa 09:00-20:00,,BALVANERA,3.0,685561.0,25.7,32.3,63.7,59.9,"5,9a","5,2b","6,8b","9,4a",19.8,26.9,"193,790",6.4,30280.0,6.3,3.1,90.1,39.2,17.4,65.8,16.8,50.5,1.1,8.2,7.7,9.7,-2.0,38.2,42.5,19.3,2.2,41.3,48.0,57.7,42.3,cafe martinez,81,True,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,1108412198,amenity,restaurant,La Opera,-34.604282,-58.3921266,,,,,,,,,SAN NICOLAS,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,la opera,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
node,1108412218,amenity,restaurant,Nuevo Callao,-34.6018538,-58.3924252,,,,,,,,,SAN NICOLAS,1.0,694384.0,26.8,35.5,66.5,62.3,"6,2a","4,6b","8,1a","9,1a",23.9,32.8,"258,922",17.9,14465.0,8.4,8.7,101.2,37.8,18.2,66.9,14.9,47.4,1.1,5.6,8.1,7.2,0.9,37.3,40.6,22.1,2.6,24.4,53.1,73.2,26.8,nuevo callao,1,False,Sin motivo claro / nombre genérico,,Sin motivo claro / nombre genérico
