name,regex_label
Buffet restaurant,Sin motivo claro / nombre genérico
Bulebar,Sin motivo claro / nombre genérico
Bulgaria,Sin motivo claro / nombre genérico
Bullanga,Sin motivo claro / nombre genérico
Buller,Sin motivo claro / nombre genérico
Buller,Sin motivo claro / nombre genérico
Bulls bbq smokehouse,Sin motivo claro / nombre genérico
Buo,Sin motivo claro / nombre genérico
Buon Appetito,Sin motivo claro / nombre genérico
Burma,Sin motivo claro / nombre genérico
Burmana,Sin motivo claro / nombre genérico
Burton,Sin motivo claro / nombre genérico
Bushido Libros,Sin motivo claro / nombre genérico
Byra,Sin motivo claro / nombre genérico
C y M Libros,Sin motivo claro / nombre genérico
C y M Llibros,Sin motivo claro / nombre genérico
C. C. Adan Buenos Aires,Sin motivo claro / nombre genérico
CAFF,Sin motivo claro / nombre genérico
CARRIZO,Sin motivo claro / nombre genérico
CL,Sin motivo claro / nombre genérico
COR-TE Charcutería,Sin motivo claro / nombre genérico
CP67,Sin motivo claro / nombre genérico
Cabanas,Sin motivo claro / nombre genérico
Cabaña Las Lilas,Sin motivo claro / nombre genérico
Cabaña Tuyu,Sin motivo claro / nombre genérico
Cabaña Villegas,Sin motivo claro / nombre genérico
Cabildo de Buenos Aires,Sin motivo claro / nombre genérico
Caburé,Sin motivo claro / nombre genérico
Cacillo,Sin motivo claro / nombre genérico
Cactus Discos,Sin motivo claro / nombre genérico
Caelis,Sin motivo claro / nombre genérico
Cafe,Sin motivo claro / nombre genérico
Cafe Altares,Sin motivo claro / nombre genérico
Cafe Armenio,Sin motivo claro / nombre genérico
Cafe Bar,Sin motivo claro / nombre genérico
Cafe Bar,Sin motivo claro / nombre genérico
Cafe Boccazzi,Sin motivo claro / nombre genérico
Cafe Chocolate,Sin motivo claro / nombre genérico
Cafe Martinez,Sin motivo claro / nombre genérico
Cafe Martinez,Sin motivo claro / nombre genérico
Cafe Rivas,Sin motivo claro / nombre genérico
Cafe Tabac,Sin motivo claro / nombre genérico
Cafe de Garcia,Sin motivo claro / nombre genérico
Cafe de la U,Sin motivo claro / nombre genérico
Cafe del Biografo,Sin motivo claro / nombre genérico
Cafe del medio,Sin motivo claro / nombre genérico
Cafecito,Sin motivo claro / nombre genérico
Cafeteria Pabellón 2,Sin motivo claro / nombre genérico
Cafetería,Sin motivo claro / nombre genérico
Cafetería,Sin motivo claro / nombre genérico
Cafetería & Resto Bar,Sin motivo claro / nombre genérico
Cafetería Ala,Sin motivo claro / nombre genérico
Cafeto,Sin motivo claro / nombre genérico
Cafeto,Sin motivo claro / nombre genérico
Cafezenda,Sin motivo claro / nombre genérico
Caffe Los Molinos,Sin motivo claro / nombre genérico
Caffe Nascosto,Sin motivo claro / nombre genérico
Caffe Vergnano,Sin motivo claro / nombre genérico
Caffeine,Sin motivo claro / nombre genérico
Caffé Doge,Sin motivo claro / nombre genérico
Caffé del Doge,Sin motivo claro / nombre genérico
Caffé del Doge,Sin motivo claro / nombre genérico
Caffé del Doge,Sin motivo claro / nombre genérico
Cafiolo,Sin motivo claro / nombre genérico
Café,Sin motivo claro / nombre genérico
Café 2D,Sin motivo claro / nombre genérico
Café Altares,Sin motivo claro / nombre genérico
Café Artigad,Sin motivo claro / nombre genérico
Café Artigas,Sin motivo claro / nombre genérico
Café BA,Sin motivo claro / nombre genérico
Café Bar Cristóbal,Sin motivo claro / nombre genérico
Café Bartolomé,Sin motivo claro / nombre genérico
Café Botanico,Sin motivo claro / nombre genérico
Café Castelar,Sin motivo claro / nombre genérico
Café Crespin,Sin motivo claro / nombre genérico
Café Divergente,Sin motivo claro / nombre genérico
Café Gutierrez,Sin motivo claro / nombre genérico
Café Havanna,Sin motivo claro / nombre genérico
Café Havanna,Sin motivo claro / nombre genérico
Café La Biela,Sin motivo claro / nombre genérico
Café Libros del Pasaje,Sin motivo claro / nombre genérico
Café Lo-Fi,Sin motivo claro / nombre genérico
Café Maitre,Sin motivo claro / nombre genérico
Café Margot,Sin motivo claro / nombre genérico
Café Marini,Sin motivo claro / nombre genérico
Café Martinez,Sin motivo claro / nombre genérico
Café Martinez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Martínez,Sin motivo claro / nombre genérico
Café Matteo,Sin motivo claro / nombre genérico
Café Metro Bar,Sin motivo claro / nombre genérico
Café Nuñez,Sin motivo claro / nombre genérico
Café Palacio,Sin motivo claro / nombre genérico
Café Registrado,Sin motivo claro / nombre genérico
Café Registrado,Sin motivo claro / nombre genérico
Café Registrado,Sin motivo claro / nombre genérico
Café Registrado,Sin motivo claro / nombre genérico
